,with_corona,without_corona,reduction
2020-05-27,21796.780104042322,26675.048046382995,4878.2679423406735
2020-05-28,21561.98514774211,26633.900417171575,5071.915269429464
2020-05-29,21890.465600591277,26784.519697272746,4894.05409668147
2020-05-30,21956.05346544636,26863.841515760534,4907.788050314175
2020-05-31,22121.58143858582,26992.400384792883,4870.818946207062
2020-06-01,22395.650866119093,27110.924023474065,4715.273157354972
2020-06-02,22596.086520716028,27294.59424084529,4698.507720129262
2020-06-03,22949.285723133322,27416.74757606825,4467.461852934928
2020-06-04,23338.383610664077,27483.5052868896,4145.121676225521
2020-06-05,23700.95348350728,27463.48374372378,3762.5302602164993
2020-06-06,24083.889555104834,27531.857987872543,3447.9684327677096
2020-06-07,24391.194476841967,27487.667134853895,3096.4726580119277
2020-06-08,24310.828292172977,27559.947718486303,3249.1194263133257
2020-06-09,24534.065928642198,27570.932070122573,3036.8661414803755
2020-06-10,24477.945168985123,27470.67483111284,2992.7296621277164
2020-06-11,24412.21167825082,27406.22811034715,2994.0164320963304
2020-06-12,24317.912649223454,27376.038562441852,3058.1259132183986
2020-06-13,24380.447605501926,27329.56747477243,2949.119869270504
2020-06-14,24461.859106913267,27361.706451847807,2899.84734493454
2020-06-15,24535.536131618086,27398.97411640869,2863.4379847906057
2020-06-16,24540.791355633603,27375.40382461689,2834.612468983287
2020-06-17,24604.534759221086,27426.943495496962,2822.4087362758764
2020-06-18,24633.300819845652,27445.6665332359,2812.365713390249
2020-06-19,24650.428952500482,27455.284535150557,2804.855582650074
2020-06-20,24667.032151759056,27467.01509440117,2799.982942642113
2020-06-21,24690.56018921573,27487.660748977698,2797.1005597619696
2020-06-22,24618.381341429114,27403.742918575215,2785.361577146101
2020-06-23,24564.493739874695,27341.89218113829,2777.3984412635946
2020-06-24,24525.417645719357,27297.7354163379,2772.3177706185415
2020-06-25,24448.18957721349,27211.291908961302,2763.102331747814
2020-06-26,24366.179437060506,27119.672136321966,2753.49269926146
2020-06-27,24261.77516591588,27002.563124657783,2740.7879587419047
2020-06-28,24131.058095305198,26856.765061392704,2725.706966087506
2020-06-29,24079.70353841578,26799.246040477992,2719.5425020622133
2020-06-30,24122.11195990849,26846.49332920467,2724.381369296181
2020-07-01,24085.799371190868,26805.848254233417,2720.0488830425493
2020-07-02,24117.423305761404,26840.377271124325,2722.9539653629217
2020-07-03,24154.10266003428,26880.964630989667,2726.861970955386
2020-07-04,24182.454703954667,26912.408729132647,2729.95402517798
2020-07-05,24216.21690589508,26950.29257217862,2734.075666283541
2020-07-06,24177.40564340503,26907.94007203082,2730.5344286257896
2020-07-07,24136.686827927195,26862.734916601836,2726.048088674641
2020-07-08,24137.686590987625,26863.23076242209,2725.5441714344634
2020-07-09,24133.527862397168,26858.59308233539,2725.0652199382203
2020-07-10,24094.418459350098,26814.699973842224,2720.281514492126
2020-07-11,24114.89954915351,26837.55848113662,2722.658931983111
2020-07-12,24103.69274118443,26825.83332148482,2722.140580300391
2020-07-13,24085.594042448432,26805.899801996136,2720.305759547704
2020-07-14,24103.303892730415,26824.97360340544,2721.6697106750253
2020-07-15,24179.78154509289,26909.99579768859,2730.214252595699
2020-07-16,24118.27149383413,26840.934114355885,2722.6626205217544
2020-07-17,24076.5551323863,26794.222103533837,2717.666971147537
2020-07-18,24002.513079622524,26712.22263630777,2709.7095566852477
2020-07-19,23940.269017840536,26643.218410702924,2702.949392862389
2020-07-20,23891.830637957322,26589.60291726364,2697.7722793063185
2020-07-21,23787.22249196426,26473.757762539113,2686.535270574852
2020-07-22,23658.154067733765,26330.17024258157,2672.016174847806
2020-07-23,23625.14611466088,26293.75873468788,2668.6126200269973
2020-07-24,23579.8611716824,26242.95545156357,2663.0942798811666
2020-07-25,23596.88974417914,26261.366383946566,2664.476639767425
2020-07-26,23604.871194278916,26270.107694219194,2665.236499940278
2020-07-27,23638.870111592667,26308.48993503278,2669.6198234401127
2020-07-28,23749.596393941083,26432.854720889074,2683.258326947991
2020-07-29,23814.695640490787,26503.722316128406,2689.0266756376186
2020-07-30,23770.401610463225,26451.55429258521,2681.152682121985
2020-07-31,23698.65782057883,26371.450763658246,2672.7929430794175
2020-08-01,23440.971553115316,26083.487590607398,2642.5160374920815
2020-08-02,22973.169767232055,25566.900600063782,2593.7308328317267
2020-08-03,22496.02453931782,25039.70309842725,2543.6785591094304
2020-08-04,22113.86464116553,24612.26753994535,2498.402898779819
2020-08-05,21988.66130902339,24475.55307817201,2486.8917691486204
2020-08-06,22089.852421302403,24587.77460817711,2497.922186874708
2020-08-07,22280.33627566455,24793.9133270862,2513.5770514216492
2020-08-08,22656.458600927683,25218.76655683698,2562.3079559092985
2020-08-09,23211.389976105624,25832.054577288112,2620.6646011824887
2020-08-10,23781.45325166087,26463.132231231448,2681.678979570577
2020-08-11,24069.05816999249,26784.247678733198,2715.1895087407065
2020-08-12,24204.975651916073,26935.435060511052,2730.4594085949793
2020-08-13,24218.334636353782,26952.358783600663,2734.0241472468806
2020-08-14,24237.071375104813,26975.954076866703,2738.8827017618896
2020-08-15,24228.84601105636,26966.406999511102,2737.560988454741
2020-08-16,24227.56698894915,26963.666942298063,2736.099953348912
2020-08-17,24206.917202514454,26939.799900340688,2732.882697826233
2020-08-18,24313.17745114407,27058.10392107642,2744.9264699323503
2020-08-19,24403.956350586643,27159.483798410405,2755.5274478237625
2020-08-20,24416.744644954935,27173.20248907798,2756.457844123044
2020-08-21,24340.956636750347,27089.157571130036,2748.200934379689
2020-08-22,24143.875463023145,26869.128496408306,2725.253033385161
2020-08-23,23916.39044628405,26617.093819416827,2700.7033731327756
2020-08-24,23769.558362926953,26454.11000288174,2684.551639954785
2020-08-25,23663.53476944756,26335.767524369207,2672.232754921646
2020-08-26,23566.004599301607,26227.81669222394,2661.8120929223332
2020-08-27,23608.834927343058,26275.62377376499,2666.7888464219322
2020-08-28,23709.79095396223,26386.35253591516,2676.5615819529303
2020-08-29,23957.284207692257,26663.123690503984,2705.839482811727
2020-08-30,24204.33058356778,26936.756470104046,2732.425886536268
2020-08-31,24347.204053600675,27094.97334926328,2747.769295662605
2020-09-01,24456.31989172258,27217.298513600566,2760.9786218779846
2020-09-02,24528.1195490212,27297.56119279975,2769.4416437785476
2020-09-03,24582.907780363395,27358.688886484735,2775.7811061213397
2020-09-04,24591.355692417,27368.739469550706,2777.3837771337057
2020-09-05,24543.37902624694,27315.52374348204,2772.1447172351
2020-09-06,24489.020115833908,27254.364684959248,2765.34456912534
2020-09-07,24449.082447162804,27209.84935789235,2760.766910729548
2020-09-08,24442.16507377799,27201.738356911403,2759.5732831334135
2020-09-09,24464.653567567686,27226.619373473022,2761.9658059053363
2020-09-10,24425.820041330382,27183.368694569916,2757.5486532395335
2020-09-11,24506.087705835143,27273.472325173992,2767.384619338849
2020-09-12,24602.71246774387,27381.252416556,2778.5399488121293
2020-09-13,24690.03210026485,27478.122328710433,2788.090228445584
2020-09-14,24834.272464348356,27637.940793847873,2803.6683294995164
2020-09-15,24928.5532045149,27742.767032345422,2814.213827830521
2020-09-16,24961.699467647362,27779.726702999968,2818.027235352605
2020-09-17,24965.98259306732,27785.031140131872,2819.048547064551
2020-09-18,24963.769627775753,27782.93480110015,2819.165173324396
2020-09-19,24892.97656242404,27703.762546994945,2810.7859845709063
2020-09-20,24941.045919758155,27757.77515236581,2816.7292326076567
2020-09-21,24976.11601722154,27796.804450293836,2820.688433072297
2020-09-22,25043.144014033263,27871.649783316538,2828.5057692832743
2020-09-23,25088.54502817709,27921.85383854463,2833.30881036754
2020-09-24,25184.999908972677,28028.849796185325,2843.8498872126474
2020-09-25,25146.76460390572,27985.422045443014,2838.6574415372925
2020-09-26,25221.297304714823,28067.951982793318,2846.6546780784956
2020-09-27,25175.518744259043,28016.943545933125,2841.424801674082
2020-09-28,25066.82679876189,27896.91275534218,2830.0859565802893
2020-09-29,24963.648047470135,27781.96559530679,2818.317547836654
2020-09-30,24875.07441679539,27683.89253409738,2808.818117301991
2020-10-01,24809.468193401404,27611.448457953113,2801.9802645517084
2020-10-02,24870.554574143767,27679.39108219114,2808.836508047374
2020-10-03,24944.6848130844,27762.8741111147,2818.1892980302982
2020-10-04,25028.817708476487,27855.90302613851,2827.085317662022
2020-10-05,25174.593024229336,28017.73334787951,2843.1403236501756
2020-10-06,25276.522306954696,28130.56392443829,2854.0416174835955
2020-10-07,25453.826825945343,28326.426586091733,2872.5997601463896
2020-10-08,25625.476750705988,28517.401148393317,2891.9243976873295
2020-10-09,25721.197090175014,28624.585291282398,2903.388201107384
2020-10-10,25821.730888138572,28737.380657142203,2915.6497690036304
2020-10-11,25923.158869569095,28851.46459508328,2928.305725514183
2020-10-12,26000.70734243011,28937.712255133218,2937.004912703109
2020-10-13,26209.02362636271,29169.858664115094,2960.8350377523857
2020-10-14,26472.37249077565,29462.22995799575,2989.8574672200994
2020-10-15,26688.530243673697,29701.356612801403,3012.826369127706
2020-10-16,26809.074997338772,29835.18449272541,3026.1094953866377
2020-10-17,26837.768680932368,29867.306669240308,3029.5379883079404
2020-10-18,26792.62044088957,29816.952030401746,3024.3315895121777
2020-10-19,26843.974822674143,29874.5469572479,3030.5721345737584
2020-10-20,26836.4141413279,29867.304902010783,3030.8907606828834
2020-10-21,26745.738503650617,29765.863055972048,3020.124552321431
2020-10-22,26677.526429735222,29689.808833481275,3012.2824037460523
2020-10-23,26669.147560863417,29681.124579446678,3011.9770185832604
2020-10-24,26705.659213914714,29720.846470799275,3015.187256884561
2020-10-25,26825.930835021456,29854.39377596097,3028.462940939513
2020-10-26,26879.211878665017,29913.819533789934,3034.607655124917
2020-10-27,26844.464663121053,29873.686556535442,3029.2218934143893
2020-10-28,26813.518365207783,29841.33099834997,3027.812633142188
2020-10-29,26904.192323624324,29943.757084047003,3039.5647604226797
2020-10-30,27081.350103769957,30141.22806051716,3059.8779567472047
2020-10-31,27253.50240553666,30333.338792101178,3079.8363865645188
2020-11-01,27492.99480913678,30598.56075716546,3105.5659480286777
2020-11-02,27742.883570941394,30873.737518431357,3130.8539474899626
2020-11-03,28029.0604995565,31191.38793428071,3162.3274347242077
2020-11-04,28296.759582829447,31490.036662147104,3193.277079317657
2020-11-05,28362.957509958935,31564.9045753124,3201.9470653534663
2020-11-06,28291.707234036276,31486.407493714356,3194.7002596780803
2020-11-07,28246.892600099956,31437.96244394042,3191.069843840465
2020-11-08,28200.207082720484,31384.91190814366,3184.704825423174
2020-11-09,28282.358685215087,31476.707774570285,3194.349089355197
2020-11-10,28380.47772780118,31585.853135763824,3205.375407962645
2020-11-11,28492.613511638974,31710.13197401825,3217.5184623792775
2020-11-12,28600.62304056904,31829.845882040587,3229.2228414715464
2020-11-13,28750.301379721026,31995.812863415504,3245.5114836944776
2020-11-14,28920.741209212316,32184.33505091991,3263.593841707596
2020-11-15,29100.96761692137,32386.07020605724,3285.1025891358695
2020-11-16,29123.153503263384,32411.02970272827,3287.876199464885
2020-11-17,29121.070097432363,32409.571543562557,3288.5014461301944
2020-11-18,29015.574551666417,32292.48012852574,3276.9055768593244
2020-11-19,29003.586122749304,32278.97826213781,3275.3921393885066
2020-11-20,29006.690035344807,32281.30466776679,3274.6146324219844
2020-11-21,28936.5766180906,32204.853281617383,3268.2766635267835
2020-11-22,28829.76407048351,32085.33956257321,3255.575492089698
2020-11-23,28768.788357206882,32017.41734288437,3248.6289856774893
2020-11-24,28716.404956165698,31959.598969039944,3243.1940128742463
2020-11-25,28796.647272289414,32049.38904488689,3252.7417725974774
2020-11-26,28904.647777898204,32167.46750115356,3262.819723255354
2020-11-27,29052.861448438092,32333.37168503835,3280.5102366002575
2020-11-28,29210.063280006485,32506.90150419375,3296.838224187264
2020-11-29,29338.452113633088,32650.50912972464,3312.057016091552
2020-11-30,29545.413509994745,32881.74051179408,3336.3270017993345
2020-12-01,29815.234969483005,33184.12184572771,3368.886876244702
2020-12-02,29932.65610297731,33314.50335056228,3381.8472475849667
2020-12-03,29968.116695919747,33353.73190276368,3385.6152068439296
2020-12-04,30112.608009312255,33512.04855655845,3399.4405472461985
2020-12-05,30310.811698139245,33730.626020497664,3419.8143223584193
2020-12-06,30519.764775654792,33962.927489120964,3443.162713466172
2020-12-07,30603.35380956828,34057.77452045946,3454.4207108911796
2020-12-08,30680.810751001314,34144.62498522222,3463.814234220903
2020-12-09,30757.840670666963,34231.88282644592,3474.0421557789596
2020-12-10,30957.318818149575,34455.327175679784,3498.0083575302087
2020-12-11,31062.502537498694,34571.885535755995,3509.3829982573006
2020-12-12,31253.433999772387,34784.15197141811,3530.717971645725
2020-12-13,31383.990455861174,34927.90273452848,3543.9122786673033
2020-12-14,31357.133336061856,34896.431400679474,3539.2980646176184
2020-12-15,31183.51453338222,34702.169702521234,3518.655169139016
2020-12-16,30935.66547999654,34425.58924164137,3489.92376164483
2020-12-17,30436.88149413333,33871.76101221679,3434.8795180834604
2020-12-18,29791.243449604026,33154.893256408155,3363.649806804129
2020-12-19,28874.295226385348,32134.597223735673,3260.301997350325
2020-12-20,27698.78950922791,30829.268084816453,3130.4785755885423
2020-12-21,26501.812270332266,29496.524842916733,2994.712572584467
2020-12-22,25632.383232390544,28526.80612950658,2894.4228971160373
2020-12-23,25226.754578555734,28076.414632392753,2849.6600538370185
2020-12-24,25057.95866506014,27886.99005347149,2829.0313884113493
2020-12-25,25043.394725894646,27870.108537526645,2826.7138116319984
2020-12-26,25190.673909429777,28037.57197602291,2846.898066593134
2020-12-27,25397.014810126337,28267.02997778526,2870.015167658923
2020-12-28,25990.966616061643,28926.265979006555,2935.299362944912
2020-12-29,26776.398900246975,29796.94451301955,3020.545612772574
2020-12-30,27312.87748042136,30394.298299848575,3081.420819427214
2020-12-31,27777.83259705234,30917.967675647084,3140.1350785947434
